output_file,sep_index,slice_start,event_timestamp,class_label,matched_warning_time,matched_warning_delta_minutes,warning_count,notes
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-05-28_11-40.json,gsep_234,2003-05-28 11:40:00,2003-05-28 23:40:00,not_found,,,33,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-05-30_16-25.json,gsep_235,2003-05-30 16:25:00,2003-05-31 04:25:00,close,2003-05-31 04:20:00,-5.00,51,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-06-18_12-15.json,gsep_236,2003-06-18 12:15:00,2003-06-19 00:15:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-10-22_12-45.json,gsep_237,2003-10-22 12:45:00,2003-10-23 00:45:00,close,2003-10-22 23:45:00,-60.00,70,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-10-26_06-25.json,gsep_238,2003-10-26 06:25:00,2003-10-26 18:25:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-10-28_00-15.json,gsep_239,2003-10-28 00:15:00,2003-10-28 12:15:00,not_found,,,2,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-10-29_09-45.json,gsep_240,2003-10-29 09:45:00,2003-10-29 21:45:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-11-01_22-55.json,gsep_241,2003-11-01 22:55:00,2003-11-02 10:55:00,close,2003-11-02 08:55:00,-120.00,11,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-11-02_05-20.json,gsep_242,2003-11-02 05:20:00,2003-11-02 17:20:00,not_found,,,12,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-11-04_10-25.json,gsep_243,2003-11-04 10:25:00,2003-11-04 22:25:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-11-19_20-20.json,gsep_244,2003-11-19 20:20:00,2003-11-20 08:20:00,close,2003-11-20 08:25:00,5.00,92,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-11-21_09-45.json,gsep_245,2003-11-21 09:45:00,2003-11-21 21:45:00,not_found,,,44,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2003-12-02_01-25.json,gsep_246,2003-12-02 01:25:00,2003-12-02 13:25:00,not_found,,,6,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2004-04-10_23-35.json,gsep_247,2004-04-10 23:35:00,2004-04-11 11:35:00,not_found,,,31,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2004-07-22_06-30.json,gsep_248,2004-07-22 06:30:00,2004-07-22 18:30:00,not_found,,,84,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2004-07-25_06-25.json,gsep_249,2004-07-25 06:25:00,2004-07-25 18:25:00,close,2004-07-25 18:00:00,-25.00,11,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2004-07-31_08-45.json,gsep_250,2004-07-31 08:45:00,2004-07-31 20:45:00,close,2004-07-31 19:05:00,-100.00,80,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2004-09-13_09-05.json,gsep_251,2004-09-13 09:05:00,2004-09-13 21:05:00,not_found,,,0,
oneoutput/original_release_outputs/release_gsep_sc23_ts__2004-09-19_07-25.json,gsep_252,2004-09-19 07:25:00,2004-09-19 19:25:00,close,2004-09-19 19:20:00,-5.00,36,
