file,start_time,probability,status
1987-03-01T00-00-00.csv,1985-10-01 00:00:00,0.0,FALSE ALARM
1987-04-01T00-00-00.csv,1985-10-01 00:00:00,0.0,FALSE ALARM
1987-05-01T00-00-00.csv,1985-10-01 00:00:00,0.0,FALSE ALARM
1987-06-01T00-00-00.csv,1987-06-01 00:00:00,0.156,FALSE ALARM
1987-07-01T00-00-00.csv,1987-07-01 00:00:00,0.136,FALSE ALARM
1987-08-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1987-09-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1987-10-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1987-11-01T00-00-00.csv,1987-07-01 00:00:00,0.002,FALSE ALARM
1987-11-08T15-45-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1987-12-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-01-04T16-35-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-02-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-03-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-04-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-05-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-06-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-07-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-08-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-09-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-10-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-11-01T00-00-00.csv,1987-07-01 00:00:00,0.0,FALSE ALARM
1988-12-01T00-00-00.csv,1988-12-01 00:00:00,0.166,FALSE ALARM
1989-01-01T00-00-00.csv,1988-12-01 00:00:00,0.002,FALSE ALARM
1989-02-01T00-00-00.csv,1988-12-01 00:00:00,0.0,FALSE ALARM
1989-03-19T09-10-00.csv,1988-12-01 00:00:00,0.0,FALSE ALARM
1989-03-24T01-35-00.csv,1988-12-01 00:00:00,0.0,FALSE ALARM
1989-04-13T05-05-00.csv,1988-12-01 00:00:00,0.0,FALSE ALARM
1989-04-14T14-35-00.csv,1988-12-01 00:00:00,0.0,FALSE ALARM
1989-05-01T00-00-00.csv,1988-12-01 00:00:00,0.0,FALSE ALARM
1989-05-06T15-50-00.csv,1988-12-01 00:00:00,0.0,FALSE ALARM
1989-06-01T00-00-00.csv,1988-12-01 00:00:00,0.0,FALSE ALARM
1989-07-01T00-00-00.csv,1989-07-01 00:00:00,0.154,FALSE ALARM
1989-08-01T00-00-00.csv,1989-07-01 00:00:00,0.0,FALSE ALARM
1989-08-20T10-05-00.csv,1989-07-01 00:00:00,0.0,FALSE ALARM
1989-09-01T00-00-00.csv,1989-07-01 00:00:00,0.002,FALSE ALARM
1989-09-13T16-00-00.csv,1989-07-01 00:00:00,0.0,FALSE ALARM
1989-10-01T16-15-00.csv,1989-07-01 00:00:00,0.0,FALSE ALARM
1989-10-03T16-15-00.csv,1989-07-01 00:00:00,0.0,FALSE ALARM
1989-11-01T00-00-00.csv,1989-07-01 00:00:00,0.0,FALSE ALARM
1989-12-02T10-55-00.csv,1989-07-01 00:00:00,0.0,FALSE ALARM
1989-12-02T13-50-00.csv,1989-07-01 00:00:00,0.0,FALSE ALARM
1990-01-01T00-00-00.csv,1990-01-01 00:00:00,0.116,FALSE ALARM
1990-02-01T00-00-00.csv,1990-02-01 00:00:00,0.564,FALSE ALARM
1990-03-01T00-00-00.csv,1990-02-01 00:00:00,0.016,FALSE ALARM
1990-04-01T00-00-00.csv,1990-02-01 00:00:00,0.046,FALSE ALARM
1990-05-01T00-00-00.csv,1990-02-01 00:00:00,0.008,FALSE ALARM
1990-06-01T00-00-00.csv,1990-02-01 00:00:00,0.0,FALSE ALARM
1990-06-13T02-45-00.csv,1990-02-01 00:00:00,0.0,FALSE ALARM
1990-07-01T00-00-00.csv,1990-02-01 00:00:00,0.052,FALSE ALARM
1990-08-02T04-10-00.csv,1990-02-01 00:00:00,0.048,FALSE ALARM
1990-08-02T10-25-00.csv,1990-02-01 00:00:00,0.0,FALSE ALARM
1990-09-01T00-00-00.csv,1990-02-01 00:00:00,0.012,FALSE ALARM
1990-10-01T00-00-00.csv,1990-10-01 00:00:00,0.152,FALSE ALARM
1990-11-01T00-00-00.csv,1990-11-01 00:00:00,0.798,FALSE ALARM
1990-12-01T00-00-00.csv,1990-11-01 00:00:00,0.0,FALSE ALARM
1991-01-01T00-00-00.csv,1990-11-01 00:00:00,0.0,FALSE ALARM
1991-02-01T00-00-00.csv,1990-11-01 00:00:00,0.0,FALSE ALARM
1991-02-01T03-30-00.csv,1990-11-01 00:00:00,0.0,FALSE ALARM
1991-03-01T00-00-00.csv,1990-11-01 00:00:00,0.0,FALSE ALARM
1991-04-01T00-00-00.csv,1990-11-01 00:00:00,0.0,FALSE ALARM
1991-04-04T16-00-00.csv,1990-11-01 00:00:00,0.0,FALSE ALARM
